Province/State;Country/Region;Lat;Long;3/06/2020;3/07/2020;3/08/2020;3/09/2020;3/10/2020;3/11/2020;3/12/2020;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;3/19/20;3/20/20;3/21/20;3/22/20;3/23/20
Lima;PE;-12.0459985;-77.0327345;6;8;10;12;17;21;37;40;68;82;110;138;221;240;285;303;310;322
Piura;PE;-5.1971897;-80.6288376;0;0;0;0;0;1;1;2;2;2;3;3;4;5;7;12;18;19
Loreto;PE;-3.7493096;-73.2466281;0;0;0;0;0;0;0;1;1;1;2;2;3;4;5;8;13;16
Junin;PE;-12.0679904;-75.2122716;0;0;0;0;0;0;0;0;0;1;1;1;2;4;5;8;9;10
Arequipa;PE;-16.3988032;-71.5390943;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;8;9;9
Callao;PE;-12.034972;-77.1576477;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;6;8;8
Lambayeque;PE;-8.1117713;-79.03088315;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5;7;8
Cusco;PE;-6.7721324;-79.8368743;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;5;6
La Libertad;PE;-9.4844965;-78.4360807;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5;5
Ancash;PE;-9.350648;-79.0000372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4
Tumbes;PE;-3.5709017;-80.4618029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3
Huánuco;PE;-9.9295128;-76.2418754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
Ica;PE;-14.0639921;-75.7312862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
Madre de Dios;PE;-9.7372572;-81.1796431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
San Martín;PE;-6.0357218;-77.0384115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
